href,letra,nome,album,trackID
/the-weeknd/die-for-you/,"I'm findin' ways to articulate the feeling I'm goin' through I just can't say I don't love you 'Cause I love you, yeah It's hard for me to communicate the thoughts that I hold But tonight I'm gon' let you know Let me tell the truth Baby, let me tell the truth, yeah You know what I'm thinkin', see it in your eyes You hate that you want me, hate it when you cry You're scared to be lonely, 'specially in the night I'm scared that I'll miss you, happens every time I don't want this feelin', I can't afford love I try to find a reason to pull us apart It ain't workin' 'cause you're perfect And I know that you're worth it I can't walk away, oh! Even though we're going through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeah The distance and the time between us It'll never change my mind, 'cause baby I would die for you Baby, I would die for you, yeah I'm finding ways to manipulate the feelin' you're goin' through But baby girl, I'm not blamin' you Just don't blame me, too, yeah 'Cause I can't take this pain forever And you won't find no one that's better 'Cause I'm right for you, babe I think I'm right for you, babe You know what I'm thinkin', see it in your eyes You hate that you want me, hate it when you cry It ain't workin' 'cause you're perfect And I know that you're worth it I can't walk away, oh! Even though we're going through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeahr The distance and the time between us It'll never change my mind, 'cause baby I would die for you Baby, I would die for you, yeah I would die for you, I would lie for you Keep it real with you, I would kill for you, my baby I'm just sayin', yeah I would die for you, I would lie for you Keep it real with you, I would kill for you, my baby Na-na-na, na-na-na, na-na-na Even though we're going through it And it makes you feel alone Just know that I would die for you Baby, I would die for you, yeah The distance and the time between us It'll never change my mind, 'cause baby I would die for you Baby, I would die for you, yeah babe (Die for you) ",Die For You,Starboy,2LBqCSwhJGcFQeTHMVGwy3
/the-weeknd/one-of-the-girs-feat-jennie-e-lily-rose-depp/,"Lock me up and throw away the key He knows how to get the best out of me I'm no force for the world to see Trade my whole life just to be Tell nobody I control you I broke you just to own you They can't tell that I love you 'Cause you're loyal, baby I love when you're submissive You love it when I break skin You feel pain without flinchin' So say it Give me tough love Leave me with nothin' when I come down My kind of love Push me and choke me till I pass out We don't gotta be in lovе, no I don't gotta be the one, no I just wanna bе one of your girls tonight We don't gotta be in love, no I don't gotta be the one, no I just wanna be one of your girls tonight, oh-oh-oh Push me down, hold me down Spit in my mouth while you turn me out I wanna take your light inside Tear me down, snuff me out Hands on my neck while you push it up And I'm screamin' out Give me tough love Leave me with nothin' when I come down My kind of love Force me and choke me till I pass out We don't gotta be in love, no I don't gotta be the one, no I just wanna be one of your girls tonight (tonight) We don't gotta be in love, no I don't gotta be the one, no (oh) I just wanna be one of your girls tonight, oh-oh-oh Lock me up and throw away the key He knows how to get the best out of me I'm no force for the world to see Trade my whole life just to be Top of the world, but I'm still not free This is a secret that I keep Until it's gone, I can never find peace Waste my whole life just to be We don't gotta be in love, no I don't gotta be the one, no I just wanna be one of your girls tonight (tonight) We don't gotta be in love, no I don't gotta be the one, no (oh) I just wanna be one of your girls tonight (oh), oh-oh-oh ",One Of The Girls ,The Idol Episode 4 (Music from the HBO Original Series),7CyPwkp0oE8Ro9Dd5CUDjW
/the-weeknd/reminder/,"Record man play my song on the radio You too busy trying to find that blue-eyed soul I let my black hair grow and my weed smoke And I swear too much on the regular We gone let them hits fly, we gone let it go If it ain't XO then it gotta go I just won a new award for a kids show Talking 'bout a face numbing off a bag of blow I'm like, goddamn, bitch, I am not a Teen Choice Goddamn, bitch, I am not a bleach boy Whip game, make a nigga understand though Got that Hannibal, Silence of the Lambo Hit the gas so hard make it rotate All my niggas blew up like a propane All these R&B niggas be so lame Got a sweet Asian chick, she go Lo Mein (Lo Mein, Lo Mein) You know me (you know me, you know) You know, man (you know, man, you know, man) You know me (you know me, you know me) Every time you try to forget who I am I'll be right there to remind you again You know me (you know me, you know me) Pow! Pow! You know me (you know me, know me) Said I'm just tryna swim in something wetter than the ocean Faded off a double cup, I'm mixing up the potion All I wanna do is make that money and make dope shit It just seem like niggas tryna sound like all my old shit Everybody knows it, all these niggas know me Platinum off a mixtape, sipping on that codeine Pour it in my trophies, roll until my nose bleed I'ma keep on singing while I'm burning up that OG All my niggas get it, they make money all alone Rock a chain around they neck, making sure I'm getting home When I travel 'round the globe, make a couple mil' a show And I come back to my city, I fuck every girl I know Used to walk around with a slouch, had a mattress on the floor Now my shit straight, eating all day, tryna lose weight That good sex, we'll sweat it out Hotel bed springs, we'll wear it out I ain't gotta tell you 'cause you know me You know me (you know me, you know) You know, man (you know, man, you know, man) You know me (you know me, you know me) Every time you try to forget who I am I'll be right there to remind you again You know me (you know me, you know me) Pow! Pow! You know me (you know me, know me) Why don't you shake some, shake somethin' for the Don? Don't you break nothin', break nothin', baby girl Won't you work some, work somethin' for the Don? Don't you hurt nothin', hurt nothin', big girl Won't you shake some, shake somethin' for the Don? Don't you break nothin', break nothin', baby girl Won't you work some, work somethin' for the Don? Don't you hurt nothin', hurt nothin' 'Cause you know me, they know me You ain't know me, yet you know me ",Reminder,Starboy,37F0uwRSrdzkBiuj0D5UHI
/the-weeknd/save-your-tears/,"Ooh Na na, yeah I saw you dancing in a crowded room You look so happy when I'm not with you But then you saw me, caught you by surprise A single teardrop falling from your eye I don't know why I run away I'll make you cry when I run away You could've asked me why I broke your heart You could've told me that you fell apart But you walked past me like I wasn't there And just pretended like you didn't care I don't know why I run away I'll make you cry when I run away Take me back 'cause I wanna stay Save your tears for another Save your tears for another day Save your tears for another day So, I made you think that I would always stay I said some things that I should never say Yeah, I broke your heart like someone did to mine And now you won't love me for a second time I don't know why I run away, oh, girl Said I'll make you cry when I run away Girl, take me back 'cause I wanna stay Save your tears for another I realize that I'm much too late And you deserve someone better Save your tears for another day (ooh, yeah) Save your tears for another day (yeah) I don't know why I run away I'll make you cry when I run away Save your tears for another day, ooh, girl (ah) I said save your tears for another day (ah) Save your tears for another day (ah) Save your tears for another day (ah) ",Save Your Tears,After Hours,5QO79kh1waicV47BqGRL3g
/the-weeknd/the-hills/,"Yeah Yeah Yeah Your man on the road, he doin' promo You said: Keep our business on the low-low I'm just tryna get you out the friend zone 'Cause you look even better than the photos I can't find your house, send me the info Drivin' through the gated residential Found out I was comin', sent your friends home Keep on tryna hide it, but your friends know I only call you when it's half-past five The only time that I'll be by your side I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, yeah I only call you when it's half-past five The only time I'd ever call you mine I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, babe I'ma let you know and keep it simple Tryna keep it up don't seem so simple I just fucked two bitches 'fore I saw you And you gon' have to do it at my tempo Always tryna send me off to rehab Drugs started feelin' like it's decaf I'm just tryna live life for the moment And all these motherfuckers want a relapse I only call you when it's half-past five The only time that I'll be by your side I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, yeah I only call you when it's half-past five The only time I'd ever call you mine I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, babe Hills have eyes, the hills have eyes Who are you to judge? Who are you to judge? Hide your lies (hide your lies) Girl, hide your lies (hide your lies, oh, baby) Only you to trust (only you) Only you I only call you when it's half-past five The only time that I'll be by your side I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, yeah I only call you when it's half-past five The only time I'd ever call you mine I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, babe (Ewedihalehu) (Yene konjo, ewedihalehu) (Yene fikir, fikir, fikir, fikir) (Yene fikir, fikir, fikir, fikir) (Ewedihalehu) (Yene konjo, ewedihalehu) ",The Hills,Beauty Behind The Madness,7fBv7CLKzipRk6EC6TWHOB
/the-weeknd/starboy/,"(Ayy) I'm tryna put you in the worst mood, ah P1 cleaner than your church shoes, ah Milli' point two just to hurt you, ah All red Lamb just to tease you, ah None of these toys on lease too, ah Made your whole year in a week too, ah Main bitch outta your league too, ah Side bitch outta your league too, ah House so empty, need a centerpiece Twenty racks a table, cut from ebony Cut that ivory into skinny pieces Then she clean it with her face, man, I love my baby, ah You talkin' money, need a hearin' aid You talkin' 'bout me, I don't see the shade Switch up my style, I take any lane I switch up my cup, I kill any pain (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) Look what you've done (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) I'm a motherfuckin' starboy (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) Look what you've done (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) I'm a motherfuckin' starboy Every day a nigga try to test me, ah Every day a nigga try to end me, ah Pull off in that Roadster SV, ah Pockets overweight, gettin' hefty, ah Comin' for the king, that's a far cry, I I come alive in the fall time, I The competition, I don't really listen I'm in the blue Mulsanne, bumpin' New Edition House so empty, need a centerpiece Twenty racks a table, cut from ebony Cut that ivory into skinny pieces Then she clean it with her face, man, I love my baby, ah You talkin' money, need a hearin' aid You talkin' 'bout me, I don't see the shade Switch up my style, I take any lane I switch up my cup, I kill any pain (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) Look what you've done (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) I'm a motherfuckin' starboy (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) Look what you've done (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) I'm a motherfuckin' starboy Let a nigga brag Pitt Legend of the fall, took the year like a bandit Bought mama a crib and a brand new Wagon Now she hit the grocery shop lookin' lavish Star Trek roof in that Wraith of Khan Girls get loose when they hear this song A hundred on the dash get me close to God We don't pray for love, we just pray for cars House so empty, need a centerpiece Twenty racks a table, cut from ebony Cut that ivory into skinny pieces Then she clean it with her face, man, I love my baby, ah You talkin' money, need a hearin' aid You talkin' 'bout me, I don't see the shade Switch up my style, I take any lane I switch up my cup, I kill any pain (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) Look what you've done (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) I'm a motherfuckin' starboy (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) Look what you've done (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) I'm a motherfuckin' starboy (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) Look what you've done (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) I'm a motherfuckin' starboy (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) Look what you've done (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha) I'm a motherfuckin' starboy ",Starboy ,Starboy,7MXVkk9YMctZqd1Srtv4MB
/the-weeknd/call-out-my-name/,"We found each other I helped you out of a broken place You gave me comfort But falling for you was my mistake I put you on top, I put you on top I claimed you so proud and openly And when times were rough, when times were rough I made sure I held you close to me So call out my name (call out my name) Call out my name when I kiss you so gently I want you to stay (I want you to stay) I want you to stay even though you don't want me Girl, why can't you wait? (Why can't you wait, baby?) Girl, why can't you wait till I fall out of love? Won't you call out my name? (Call out my name) Girl, call out my name, and I'll be on my way and I'll be on my— I said I didn't feel nothing, baby, but I lied I almost cut a piece of myself for your life Guess I was just another pit stop Till you made up your mind You just wasted my time You're on top, I put you on top I claimed you so proud and openly, babe And when times were rough, when times were rough I made sure I held you close to me So call out my name (call out my name, baby) So call out my name when I kiss you so gently I want you to stay (I want you to stay) I want you to stay even though you don't want me Girl, why can't you wait? (Girl, why can't you wait till I—) Girl, why can't you wait till I fall out of love? Babe, call out my name (say you'll call out my name, baby) Just call out my name, and I'll be on my way Girl, I'll be on my— (On my way, on my way) (On my way, on my way, oh) (On my way, on my way, on my way) (On my way, on my way, on my way) (On my—) ",Call Out My Name,"My Dear Melancholy,",09mEdoA6zrmBPgTEN5qXmN
/the-weeknd/blinding-lights/,"Yeah I've been tryna call I've been on my own for long enough Maybe you can show me how to love, maybe I'm going through withdrawals You don't even have to do too much You can turn me on with just a touch, baby I look around and Sin city's cold and empty (oh) No one's around to judge me (oh) I can't see clearly when you're gone I said: Ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said: Ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust Hey, hey, hey I'm running out of time 'Cause I can see the Sun light up the sky So I hit the road in overdrive, baby, oh The city's cold and empty (oh) No one's around to judge me (oh) I can't see clearly when you're gone I said: Ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said: Ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust I'm just coming back to let you know (back to let you know) I can never say it on the phone (say it on the phone) Will never let you go this time (ooh) I said: Ooh, I'm blinded by the lights No, I can't sleep until I feel your touch Hey, hey, hey Hey, hey, hey I said: Ooh, I'm blinded by the lights No, I can't sleep until I feel your touch ",Blinding Lights,After Hours,0VjIjW4GlUZAMYd2vXMi3b
/the-weeknd/earned-it/,"I'ma care for you I'ma care for you, you, you, you You make it look like it's magic (oh, yeah) 'Cause I see nobody, nobody but you, you, you I'm never confused, hey, hey And I'm so used to being used So I love when you call unexpected 'Cause I hate when the moment's expected So I'ma care for you, you, you I'ma care for you, you, you, you, yeah 'Cause, girl, you're perfect You're always worth it And you deserve it The way you work it 'Cause, girl, you earned it, yeah Girl, you earned it, yeah You know our love would be tragic (oh, yeah) So you don't pay it, don't pay it no mind, mind, mind We live with no lies, hey, hey You're my favorite kind of night So I love when you call unexpected 'Cause I hate when the moment's expected So I'ma care for you, you, you I'ma care for you, you, you, you, yeah 'Cause, girl, you're perfect (girl, you're perfect) You're always worth it (always worth it) And you deserve it (and you deserve it) The way you work it (the way you work it) 'Cause, girl, you earned it (earned it, shit) Girl, you earned it, yeah On that lonely night (lonely night) We said it wouldn't be love But we felt the rush (fell in love) It made us believe it was only us (it was only us) Convinced we were broken inside, yeah Inside, yeah 'Cause, girl, you're perfect (girl, you're perfect) You're always worth it (you're always worth it) And you deserve it (and you deserve it) The way you work it (the way you work it) 'Cause, girl, you earned it, yeah (girl, you earned it) Girl, you earned it, yeah (you earned it) Na, na, na, na, na Oh, ooh Yeah, yeah 'Cause, girl, you're perfect The way you work it I deserve it ",Earned It,Beauty Behind The Madness,4frLb7nWtsz2ymBE6k2GRP
/the-weeknd/after-hours/,"Thought I almost died in my dream again (baby, almost died) Fightin' for my life, I couldn't breathe again I'm fallin' in too deep (oh, oh) Without you, I can't sleep (fallin' in) 'Cause my heart belongs to you I'll risk it all for you I want you next to me This time, I'll never leave I wanna share babies Protection, we won't need Your body next to me Is just a memory I'm fallin' in too deep, oh Without you, I can't sleep Insomnia relieve, oh Talk to me, without you, I can't breathe My darkest hours Girl, I felt so alone inside of this crowded room Different girls on the floor, distractin' my thoughts of you I turned into the man I used to be, to be Put myself to sleep Just so I can get closer to you inside my dreams Didn't wanna wake up 'less you were beside me I just wanted to call you and say, and say Oh, baby Where are you now when I need you most? I'd give it all just to hold you close Sorry that I broke your heart, your heart Never comin' down, uh I was running away from facin' reality, uh Wastin' all of my time out living my fantasies Spendin' money to compensate, compensate 'Cause I want you, baby, uh I be livin' in heaven when I'm inside of you It was simply a blessing wakin' beside you I'll never let you down again, again Oh, baby Where are you now when I need you most? I'd give it all just to hold you close Sorry that I broke your heart, your heart I said, baby I'll treat you better than I did before I'll hold you down and not let you go This time, I won't break your heart, your heart, yeah I know it's all my fault Made you put down your guard I know I made you fall Then said you were wrong for me I lied to you, I lied to you, I lied to you (to you) Can't hide the truth, I'd stay with her in spite of you You did some things that you regret, still ride for you 'Cause this house is not a home Without my baby Where are you now when I need you most? I gave it all just to hold you close Sorry that I broke your heart, your heart And I said, baby I'll treat you better than I did before I'll hold you down and not let you go This time, I won't break your heart, your heart, no ",After Hours,After Hours,2p8IUWQDrpjuFltbdgLOag
